Tarragona-Torredembarra,18.18,280,127,70
Montsianell,7.33,225,206,13
Falset-Ermites,8.2,159,592,381
Bellmunt,12.73,228,422,109
Vallmoll,11.47,164,333,262
Salou-Cambrils,8.97,122,11,-6
AvencsFebro,7.33,199,1009,816
TossalBaltasana,7.21,114,1202,885
Amposta-Ulldecona,26.77,470,645,2
Vimbodi-Prades,38.1,330,1190,443
Poblet-Pena,7.33,180,999,806
